,Postal Code,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwood,43.7532586,-79.3296565
1,M4A,North York,Victoria Villag,43.725882299999995,-79.31557159999998
2,M5A,Downtown Toronto,Regent Park,43.6542599,-79.3606359
3,M5A,Downtown Toronto,Harbourfron,43.6542599,-79.3606359
4,M6A,North York,Lawrence Manor,43.718517999999996,-79.46476329999999
5,M6A,North York,Lawrence Height,43.718517999999996,-79.46476329999999
6,M9A,Etobicoke,Islington Avenu,43.6678556,-79.53224240000002
7,M1B,Scarborough,Malvern,43.806686299999996,-79.19435340000001
8,M1B,Scarborough,Roug,43.806686299999996,-79.19435340000001
9,M3B,North York,Don Mills)Nor,43.745905799999996,-79.352188
10,M4B,East York,Parkview Hill,43.7063972,-79.309937
11,M4B,East York,Woodbine Garden,43.7063972,-79.309937
12,M5B,Downtown Toronto,"Garden District, Ryerso",43.6571618,-79.37893709999999
13,M6B,North York,Glencair,43.709577,-79.44507259999999
14,M9B,Etobicoke,West Deane Park,43.6509432,-79.55472440000001
15,M9B,Etobicoke,Princess Gardens,43.6509432,-79.55472440000001
16,M9B,Etobicoke,Martin Grove,43.6509432,-79.55472440000001
17,M9B,Etobicoke,Islington,43.6509432,-79.55472440000001
18,M9B,Etobicoke,Cloverdal,43.6509432,-79.55472440000001
19,M1C,Scarborough,Rouge Hill,43.7845351,-79.16049709999999
20,M1C,Scarborough,Port Union,43.7845351,-79.16049709999999
21,M1C,Scarborough,Highland Cree,43.7845351,-79.16049709999999
22,M3C,North York,Don Mills)Sou,43.72589970000001,-79.340923
23,M4C,East York,Woodbine Height,43.695343900000005,-79.3183887
24,M5C,Downtown Toronto,St. James Tow,43.6514939,-79.3754179
25,M6C,York,Humewood-Cedarval,43.6937813,-79.42819140000002
26,M9C,Etobicoke,Eringate,43.6435152,-79.57720079999999
27,M9C,Etobicoke,Bloordale Gardens,43.6435152,-79.57720079999999
28,M9C,Etobicoke,Old Burnhamthorpe,43.6435152,-79.57720079999999
29,M9C,Etobicoke,Markland Woo,43.6435152,-79.57720079999999
30,M1E,Scarborough,Guildwood,43.7635726,-79.1887115
31,M1E,Scarborough,Morningside,43.7635726,-79.1887115
32,M1E,Scarborough,West Hil,43.7635726,-79.1887115
33,M4E,East Toronto,The Beache,43.67635739999999,-79.2930312
34,M5E,Downtown Toronto,Berczy Par,43.644770799999996,-79.3733064
35,M6E,York,Caledonia-Fairbank,43.6890256,-79.453512
36,M1G,Scarborough,Wobur,43.7709921,-79.21691740000001
37,M4G,East York,Leasid,43.7090604,-79.3634517
38,M5G,Downtown Toronto,Central Bay Stree,43.6579524,-79.3873826
39,M6G,Downtown Toronto,Christi,43.669542,-79.4225637
40,M1H,Scarborough,Cedarbra,43.773136,-79.23947609999999
41,M2H,North York,Hillcrest Villag,43.8037622,-79.3634517
42,M3H,North York,Bathurst Manor,43.7543283,-79.4422593
43,M3H,North York,Wilson Heights,43.7543283,-79.4422593
44,M3H,North York,Downsview Nort,43.7543283,-79.4422593
45,M4H,East York,Thorncliffe Par,43.7053689,-79.34937190000001
46,M5H,Downtown Toronto,Richmond,43.65057120000001,-79.3845675
47,M5H,Downtown Toronto,Adelaide,43.65057120000001,-79.3845675
48,M5H,Downtown Toronto,Kin,43.65057120000001,-79.3845675
49,M6H,West Toronto,Dufferin,43.66900510000001,-79.4422593
50,M6H,West Toronto,Dovercourt Villag,43.66900510000001,-79.4422593
51,M1J,Scarborough,Scarborough Villag,43.7447342,-79.23947609999999
52,M2J,North York,Fairview,43.7785175,-79.3465557
53,M2J,North York,Henry Farm,43.7785175,-79.3465557
54,M2J,North York,Oriol,43.7785175,-79.3465557
55,M3J,North York,Northwood Park,43.7679803,-79.48726190000001
56,M3J,North York,York Universit,43.7679803,-79.48726190000001
57,M4J,East YorkEast Toronto,The Danforth Eas,43.685347,-79.3381065
58,M5J,Downtown Toronto,Harbourfront East,43.6408157,-79.38175229999999
59,M5J,Downtown Toronto,Union Station,43.6408157,-79.38175229999999
60,M5J,Downtown Toronto,Toronto Island,43.6408157,-79.38175229999999
61,M6J,West Toronto,Little Portugal,43.647926700000006,-79.4197497
62,M6J,West Toronto,Trinit,43.647926700000006,-79.4197497
63,M1K,Scarborough,Kennedy Park,43.7279292,-79.26202940000002
64,M1K,Scarborough,Ionview,43.7279292,-79.26202940000002
65,M1K,Scarborough,East Birchmount Par,43.7279292,-79.26202940000002
66,M2K,North York,Bayview Villag,43.7869473,-79.385975
67,M3K,North York,Downsview)Eas,43.737473200000004,-79.46476329999999
68,M4K,East Toronto,The Danforth West,43.6795571,-79.352188
69,M4K,East Toronto,Riverdal,43.6795571,-79.352188
70,M5K,Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.38157640000001
71,M5K,Downtown Toronto,Design Exchang,43.6471768,-79.38157640000001
72,M6K,West Toronto,Brockton,43.6368472,-79.42819140000002
73,M6K,West Toronto,Parkdale Village,43.6368472,-79.42819140000002
74,M6K,West Toronto,Exhibition Plac,43.6368472,-79.42819140000002
75,M1L,Scarborough,Golden Mile,43.711111700000004,-79.2845772
76,M1L,Scarborough,Clairlea,43.711111700000004,-79.2845772
77,M1L,Scarborough,Oakridg,43.711111700000004,-79.2845772
78,M2L,North York,York Mills,43.7574902,-79.37471409999999
79,M2L,North York,Silver Hill,43.7574902,-79.37471409999999
80,M3L,North York,Downsview)We,43.7390146,-79.5069436
81,M4L,East Toronto,India Bazaar,43.6689985,-79.31557159999998
82,M4L,East Toronto,The Beaches Wes,43.6689985,-79.31557159999998
83,M5L,Downtown Toronto,Commerce Court,43.6481985,-79.37981690000001
84,M5L,Downtown Toronto,Victoria Hote,43.6481985,-79.37981690000001
85,M6L,North York,North Park,43.713756200000006,-79.4900738
86,M6L,North York,Maple Leaf Park,43.713756200000006,-79.4900738
87,M6L,North York,Upwood Par,43.713756200000006,-79.4900738
88,M9L,North York,Humber Summi,43.7563033,-79.56596329999999
89,M1M,Scarborough,Cliffside,43.716316,-79.23947609999999
90,M1M,Scarborough,Cliffcrest,43.716316,-79.23947609999999
91,M1M,Scarborough,Scarborough Village Wes,43.716316,-79.23947609999999
92,M2M,North York,Willowdale,43.789053,-79.40849279999999
93,M2M,North York,Newtonbroo,43.789053,-79.40849279999999
94,M3M,North York,Downsview)Centr,43.7284964,-79.49569740000001
95,M4M,East Toronto,Studio Distric,43.6595255,-79.340923
96,M5M,North York,Bedford Park,43.7332825,-79.4197497
97,M5M,North York,Lawrence Manor Eas,43.7332825,-79.4197497
98,M6M,York,Del Ray,43.6911158,-79.47601329999999
99,M6M,York,Mount Dennis,43.6911158,-79.47601329999999
100,M6M,York,Keelsdale and Silverthor,43.6911158,-79.47601329999999
101,M9M,North York,Humberlea,43.7247659,-79.53224240000002
102,M9M,North York,Emer,43.7247659,-79.53224240000002
103,M1N,Scarborough,Birch Cliff,43.692657000000004,-79.2648481
104,M1N,Scarborough,Cliffside Wes,43.692657000000004,-79.2648481
105,M2N,North York,Willowdale)Sou,43.7701199,-79.40849279999999
106,M3N,North York,Downsview)Northwe,43.7616313,-79.52099940000001
107,M4N,Central Toronto,Lawrence Par,43.7280205,-79.3887901
108,M5N,Central Toronto,Roselaw,43.7116948,-79.41693559999999
109,M6N,York,Runnymede,43.67318529999999,-79.48726190000001
110,M6N,York,The Junction Nort,43.67318529999999,-79.48726190000001
111,M9N,York,Westo,43.706876,-79.51818840000001
112,M1P,Scarborough,Dorset Park,43.7574096,-79.27330400000001
113,M1P,Scarborough,Wexford Heights,43.7574096,-79.27330400000001
114,M1P,Scarborough,Scarborough Town Centr,43.7574096,-79.27330400000001
115,M2P,North York,York Mills Wes,43.752758299999996,-79.4000493
116,M4P,Central Toronto,Davisville Nort,43.7127511,-79.3901975
117,M5P,Central Toronto,Forest Hill North & Wes,43.6969476,-79.41130720000001
118,M6P,West Toronto,High Park,43.6616083,-79.46476329999999
119,M6P,West Toronto,The Junction Sout,43.6616083,-79.46476329999999
120,M9P,Etobicoke,Westmoun,43.696319,-79.53224240000002
121,M1R,Scarborough,Wexford,43.750071500000004,-79.2958491
122,M1R,Scarborough,Maryval,43.750071500000004,-79.2958491
123,M2R,North York,Willowdale)We,43.7827364,-79.4422593
124,M4R,Central Toronto,North Toronto Wes,43.7153834,-79.40567840000001
125,M5R,Central Toronto,The Annex,43.6727097,-79.40567840000001
126,M5R,Central Toronto,North Midtown,43.6727097,-79.40567840000001
127,M5R,Central Toronto,Yorkvill,43.6727097,-79.40567840000001
128,M6R,West Toronto,Parkdale,43.6489597,-79.456325
129,M6R,West Toronto,Roncesvalle,43.6489597,-79.456325
130,M7R,MississaugaCanada Post Gateway Processing Centre,Enclave of L4,43.6369656,-79.61581899999999
131,M9R,Etobicoke,Kingsview Village,43.6889054,-79.55472440000001
132,M9R,Etobicoke,St. Phillips,43.6889054,-79.55472440000001
133,M9R,Etobicoke,Martin Grove Gardens,43.6889054,-79.55472440000001
134,M9R,Etobicoke,Richview Garden,43.6889054,-79.55472440000001
135,M1S,Scarborough,Agincour,43.7942003,-79.26202940000002
136,M4S,Central Toronto,Davisvill,43.7043244,-79.3887901
137,M5S,Downtown Toronto,University of Toronto,43.6626956,-79.4000493
138,M5S,Downtown Toronto,Harbor,43.6626956,-79.4000493
139,M6S,West Toronto,Runnymede,43.6515706,-79.4844499
140,M6S,West Toronto,Swanse,43.6515706,-79.4844499
141,M1T,Scarborough,Clarks Corners,43.7816375,-79.3043021
142,M1T,Scarborough,Tam O'Shanter,43.7816375,-79.3043021
143,M1T,Scarborough,Sulliva,43.7816375,-79.3043021
144,M4T,Central Toronto,Moore Park,43.6895743,-79.38315990000001
145,M4T,Central Toronto,Summerhill Eas,43.6895743,-79.38315990000001
146,M5T,Downtown Toronto,Kensington Market,43.6532057,-79.4000493
147,M5T,Downtown Toronto,Chinatown,43.6532057,-79.4000493
148,M5T,Downtown Toronto,Grange Par,43.6532057,-79.4000493
149,M1V,Scarborough,Milliken,43.8152522,-79.2845772
150,M1V,Scarborough,Agincourt North,43.8152522,-79.2845772
151,M1V,Scarborough,Steeles East,43.8152522,-79.2845772
152,M1V,Scarborough,L'Amoreaux Eas,43.8152522,-79.2845772
153,M4V,Central Toronto,Summerhill West,43.68641229999999,-79.4000493
154,M4V,Central Toronto,Rathnelly,43.68641229999999,-79.4000493
155,M4V,Central Toronto,South Hill,43.68641229999999,-79.4000493
156,M4V,Central Toronto,Forest Hill SE,43.68641229999999,-79.4000493
157,M4V,Central Toronto,Deer Par,43.68641229999999,-79.4000493
158,M5V,Downtown Toronto,CN Tower,43.6289467,-79.3944199
159,M5V,Downtown Toronto,King and Spadina,43.6289467,-79.3944199
160,M5V,Downtown Toronto,Railway Lands,43.6289467,-79.3944199
161,M5V,Downtown Toronto,Harbourfront West,43.6289467,-79.3944199
162,M5V,Downtown Toronto,Bathurst Quay,43.6289467,-79.3944199
163,M5V,Downtown Toronto,South Niagara,43.6289467,-79.3944199
164,M5V,Downtown Toronto,Island airpor,43.6289467,-79.3944199
165,M8V,Etobicoke,New Toronto,43.6056466,-79.50132070000001
166,M8V,Etobicoke,Mimico South,43.6056466,-79.50132070000001
167,M8V,Etobicoke,Humber Bay Shore,43.6056466,-79.50132070000001
168,M9V,Etobicoke,South Steeles,43.739416399999996,-79.5884369
169,M9V,Etobicoke,Silverstone,43.739416399999996,-79.5884369
170,M9V,Etobicoke,Humbergate,43.739416399999996,-79.5884369
171,M9V,Etobicoke,Jamestown,43.739416399999996,-79.5884369
172,M9V,Etobicoke,Mount Olive,43.739416399999996,-79.5884369
173,M9V,Etobicoke,Beaumond Heights,43.739416399999996,-79.5884369
174,M9V,Etobicoke,Thistletown,43.739416399999996,-79.5884369
175,M9V,Etobicoke,Albion Garden,43.739416399999996,-79.5884369
176,M1W,Scarborough,Steeles West,43.799525200000005,-79.3183887
177,M1W,Scarborough,L'Amoreaux Wes,43.799525200000005,-79.3183887
178,M4W,Downtown Toronto,Rosedal,43.6795626,-79.37752940000001
179,M5W,Downtown TorontoStn A PO Boxes25 The Esplanade,Enclave of M5,43.6464352,-79.37484599999999
180,M8W,Etobicoke,Alderwood,43.60241370000001,-79.54348409999999
181,M8W,Etobicoke,Long Branc,43.60241370000001,-79.54348409999999
182,M9W,EtobicokeNorthwest,Clairville,43.706748299999994,-79.5940544
183,M9W,EtobicokeNorthwest,Humberwood,43.706748299999994,-79.5940544
184,M9W,EtobicokeNorthwest,Woodbine Downs,43.706748299999994,-79.5940544
185,M9W,EtobicokeNorthwest,West Humber,43.706748299999994,-79.5940544
186,M9W,EtobicokeNorthwest,Kipling Heights,43.706748299999994,-79.5940544
187,M9W,EtobicokeNorthwest,Rexdale,43.706748299999994,-79.5940544
188,M9W,EtobicokeNorthwest,Elms,43.706748299999994,-79.5940544
189,M9W,EtobicokeNorthwest,Tandridge,43.706748299999994,-79.5940544
190,M9W,EtobicokeNorthwest,Old Rexdal,43.706748299999994,-79.5940544
191,M1X,Scarborough,Upper Roug,43.836124700000006,-79.20563609999999
192,M4X,Downtown Toronto,St. James Town,43.667967,-79.3676753
193,M4X,Downtown Toronto,Cabbagetow,43.667967,-79.3676753
194,M5X,Downtown Toronto,First Canadian Place,43.6484292,-79.3822802
195,M5X,Downtown Toronto,Underground cit,43.6484292,-79.3822802
196,M8X,Etobicoke,The Kingsway,43.653653600000005,-79.5069436
197,M8X,Etobicoke,Montgomery Road,43.653653600000005,-79.5069436
198,M8X,Etobicoke,Old Mill Nort,43.653653600000005,-79.5069436
199,M4Y,Downtown Toronto,Church and Wellesle,43.6658599,-79.38315990000001
200,M7Y,East TorontoBusiness reply mail Processing Centre969 Eastern,Enclave of M4,43.6627439,-79.321558
201,M8Y,Etobicoke,Old Mill South,43.6362579,-79.49850909999999
202,M8Y,Etobicoke,King's Mill Park,43.6362579,-79.49850909999999
203,M8Y,Etobicoke,Sunnylea,43.6362579,-79.49850909999999
204,M8Y,Etobicoke,Humber Bay,43.6362579,-79.49850909999999
205,M8Y,Etobicoke,Mimico NE,43.6362579,-79.49850909999999
206,M8Y,Etobicoke,The Queensway East,43.6362579,-79.49850909999999
207,M8Y,Etobicoke,Royal York South East,43.6362579,-79.49850909999999
208,M8Y,Etobicoke,Kingsway Park South Eas,43.6362579,-79.49850909999999
209,M8Z,Etobicoke,Mimico NW,43.6288408,-79.52099940000001
210,M8Z,Etobicoke,The Queensway West,43.6288408,-79.52099940000001
211,M8Z,Etobicoke,South of Bloor,43.6288408,-79.52099940000001
